CITY COUNTRY LATITUDE LONGITUDE REGION CLOUD
Virginia US 37.3719 -79.8164 eastus Azure
Virginia US 36.6681 -78.3889 eastus2 Azure
Texas US 29.4167 -98.5 southcentralus Azure
Washington US 47.233 -119.852 westus2 Azure
California US 37.783 -122.417 westus Azure
"New South Wales" Australia -33.86 151.2094 australiaeast Azure
Singapore Singapore 1.283 103.833 southeastasia Azure
Ireland Ireland 53.3478 -6.2597 northeurope Azure
London UK 50.941 -0.799 uksouth Azure
Netherlands Netherlands 52.3667 4.9 westeurope Azure
Iowa US 41.5908 -93.6208 centralus Azure
Illinois US 41.8819 -87.6278 northcentralus Azure
Johannesburg "South Africa" -25.731340 28.218370 southafricanorth Azure
Pune India 18.5822 73.9197 centralindia Azure
"Hong Kong" "Hong Kong" 22.267 114.188 eastasia Azure
"Tokyo, Saitama" Japan 35.68 139.77 japaneast Azure
Seoul "South Korea" 37.5665 126.9780 koreacentral Azure
Toronto Canada 43.653 -79.383 canadacentral Azure
Paris France 46.3772 2.3730 francecentral Azure
Frankfurt Germany 50.110924 8.682127 germanywestcentral Azure
Norway Norway 59.913868 10.752245 norwayeast Azure
Zurich Switzerland 47.451542 8.564572 switzerlandnorth Azure
Dubai UAE 25.266666 55.316666 uaenorth Azure
"Sao Paulo State" Brazil -23.55 -46.633 brazilsouth Azure
Wyoming US 40.890 -110.234 westcentralus Azure
"Cape Town" "South Africa" -34.075691 18.843266 southafricawest Azure
Canberra Australia -35.3075 149.1244 australiacentral Azure
Canberra Australia -35.3075 149.1244 australiacentral2 Azure
Victoria Australia -37.8136 144.9631 australiasoutheast Azure
Osaka Japan 34.6939 135.5022 japanwest Azure
Busan "South Korea" 35.1796 129.0756 koreasouth Azure
Chennai India 12.9822 80.1636 southindia Azure
Mumbai India 19.088 72.868 westindia Azure
Quebec Canada 46.817 -71.217 canadaeast Azure
Marseille France 43.8345 2.1972 francesouth Azure
Berlin Germany 53.073635 8.806422 germanynorth Azure
Norway Norway 58.969975 5.733107 norwaywest Azure
Geneva Switzerland 46.204391 6.143158 switzerlandwest Azure
Cardiff UK 53.427 -3.084 ukwest Azure
"Abu Dhabi" UAE 24.466667 54.366669 uaecentral Azure
Rio Brazil -22.90278 -43.2075 brazilsoutheast Azure
Ohio US 39.9653 -83.0235 us-east-2 AWS
"North Virgina" US 39.0481 -77.4728 us-east-1 AWS
"North California" US 37.3388 -121.8914 us-west-1 AWS
Oregon US 45.8491 -119.7143 us-west-2 AWS
"Cape Town" "South Africa" -33.9258 18.4232 af-south-1 AWS
"Hong Kong" "Hong Kong" 34.7732 113.722 ap-east-1 AWS
Mumbai "Asia Pacific (Mumbai) " 19.0748 72.8856 ap-south-1 AWS
Osaka Japan 34.6851 135.5136 ap-northeast-3 AWS
Seoul "South Korea" 37.4562 126.7288 ap-northeast-2 AWS
Singapore Singapore 1.2929 103.8547 ap-southeast-1 AWS
Sydney Australia -33.8591 151.2002 ap-southeast-2 AWS
"Tokyo, Saitama" Japan 35.685 139.7514 ap-northeast-1 AWS
Montreal Canada "45.4995 " -73.5848 ca-central-1 AWS
Frankfurt Germany 50.1188 8.6843 eu-central-1 AWS
Ireland Ireland 53.3331 -6.2489 eu-west-1 AWS
London UK 51.5164 -0.093 eu-west-2 AWS
Milan Italy 45.4643 9.1895 eu-south-1 AWS
Paris Paris 48.8607 2.3281 eu-west-3 AWS
